experiment_id,token_variant,num_topics,no_below,no_above,alpha,eta,passes,coherence_cv,vocabulary_size,num_docs_used,empty_bow_count,largest_topic_percent,smallest_topic_percent,topic_words_summary,topic_distribution
1,unigram,8,3,0.5,symmetric,auto,10,0.422946578399415,3464,1078,42,20.945945945945947,2.9922779922779923,"T0: attack, attacker, device, system, said, data, network, access, threat, security | T1: file, system, command, window, figure, detection, payload, attacker, via, key | T2: phone, crime, use, year, fraud, reward, federal, help, law, computer | T3: pointer, buffer, write, heap, data, payload, dynamic, exploit, object, process | T4: access, process, attack, security, adversary, window, api, data, email, used | T5: module, code, data, exploit, ddos, request, cve, metasploit, add, update | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, job, fuzzing, version, bug, coverage, tool, server, worker, site",T0: 217; T1: 112; T2: 179; T3: 31; T4: 128; T5: 151; T6: 93; T7: 125
2,unigram,8,3,0.5,symmetric,auto,20,0.43971888850661456,3464,1078,42,21.91119691119691,2.8957528957528957,"T0: attack, attacker, device, said, system, network, data, threat, access, security | T1: file, system, command, window, figure, detection, payload, via, attacker, key | T2: phone, crime, use, year, fraud, reward, help, federal, computer, law | T3: pointer, buffer, write, heap, data, dynamic, exploit, process, payload, object | T4: access, process, attack, security, adversary, window, api, email, used, data | T5: module, code, data, exploit, ddos, request, add, metasploit, cve, update | T6: vulnerability, cve, exploitation, likely, window, security, less, privilege, elevation, team | T7: sample, job, fuzzing, version, tool, bug, coverage, worker, server, site",T0: 227; T1: 112; T2: 172; T3: 30; T4: 131; T5: 147; T6: 95; T7: 122
3,unigram,8,3,0.5,symmetric,symmetric,10,0.422946578399415,3464,1078,42,20.945945945945947,2.9922779922779923,"T0: attack, attacker, device, system, said, data, network, access, threat, security | T1: file, system, command, window, figure, detection, payload, attacker, via, key | T2: phone, crime, use, year, fraud, reward, federal, help, law, computer | T3: pointer, buffer, write, heap, data, payload, dynamic, exploit, object, process | T4: access, process, attack, security, adversary, window, api, data, email, used | T5: module, code, data, exploit, ddos, request, cve, metasploit, add, update | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, job, fuzzing, version, bug, coverage, tool, server, worker, site",T0: 217; T1: 112; T2: 179; T3: 31; T4: 128; T5: 151; T6: 93; T7: 125
4,unigram,8,3,0.5,symmetric,symmetric,20,0.43971888850661456,3464,1078,42,21.91119691119691,2.8957528957528957,"T0: attack, attacker, device, said, system, network, data, threat, access, security | T1: file, system, command, window, figure, detection, payload, via, attacker, key | T2: phone, crime, use, year, fraud, reward, help, federal, computer, law | T3: pointer, buffer, write, heap, data, dynamic, exploit, process, payload, object | T4: access, process, attack, security, adversary, window, api, email, used, data | T5: module, code, data, exploit, ddos, request, add, metasploit, cve, update | T6: vulnerability, cve, exploitation, likely, window, security, less, privilege, elevation, team | T7: sample, job, fuzzing, version, tool, bug, coverage, worker, server, site",T0: 227; T1: 112; T2: 172; T3: 30; T4: 131; T5: 147; T6: 95; T7: 122
5,unigram,8,3,0.5,asymmetric,auto,10,0.4248459162672754,3464,1078,42,46.71814671814672,2.799227799227799,"T0: attack, device, attacker, threat, security, data, system, said, network, malware | T1: file, system, window, command, detection, figure, attacker, payload, via, key | T2: phone, use, crime, year, fraud, reward, help, federal, law, time | T3: pointer, buffer, write, heap, data, dynamic, exploit, payload, object, process | T4: access, process, adversary, security, attack, window, api, data, handle, used | T5: module, data, code, exploit, add, tool, request, metasploit, update, cve | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, fuzzing, job, version, bug, coverage, worker, cpanel, server, list",T0: 484; T1: 142; T2: 135; T3: 29; T4: 65; T5: 54; T6: 75; T7: 52
6,unigram,8,3,0.5,asymmetric,auto,20,0.4178994376407653,3464,1078,42,46.52509652509653,2.799227799227799,"T0: attack, threat, device, security, said, data, attacker, network, group, malware | T1: file, system, window, command, detection, figure, attacker, payload, via, execution | T2: use, phone, year, crime, fraud, reward, help, federal, law, computer | T3: pointer, buffer, write, heap, exploit, dynamic, data, payload, object, process | T4: access, process, adversary, window, security, attack, api, handle, email, used | T5: data, module, code, add, tool, exploit, update, request, metasploit, cve | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, fuzzing, job, version, bug, coverage, worker, cpanel, server, list",T0: 482; T1: 135; T2: 143; T3: 29; T4: 65; T5: 57; T6: 79; T7: 46
7,unigram,8,3,0.5,asymmetric,symmetric,10,0.4248459162672754,3464,1078,42,46.71814671814672,2.799227799227799,"T0: attack, device, attacker, threat, security, data, system, said, network, malware | T1: file, system, window, command, detection, figure, attacker, payload, via, key | T2: phone, use, crime, year, fraud, reward, help, federal, law, time | T3: pointer, buffer, write, heap, data, dynamic, exploit, payload, object, process | T4: access, process, adversary, security, attack, window, api, data, handle, used | T5: module, data, code, exploit, add, tool, request, metasploit, update, cve | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, fuzzing, job, version, bug, coverage, worker, cpanel, server, list",T0: 484; T1: 142; T2: 135; T3: 29; T4: 65; T5: 54; T6: 75; T7: 52
8,unigram,8,3,0.5,asymmetric,symmetric,20,0.4178994376407653,3464,1078,42,46.52509652509653,2.799227799227799,"T0: attack, threat, device, security, said, data, attacker, network, group, malware | T1: file, system, window, command, detection, figure, attacker, payload, via, execution | T2: use, phone, year, crime, fraud, reward, help, federal, law, computer | T3: pointer, buffer, write, heap, exploit, dynamic, data, payload, object, process | T4: access, process, adversary, window, security, attack, api, handle, email, used | T5: data, module, code, add, tool, exploit, update, request, metasploit, cve | T6: vulnerability, cve, exploitation, likely, window, less, security, privilege, elevation, team | T7: sample, fuzzing, job, version, bug, coverage, worker, cpanel, server, list",T0: 482; T1: 135; T2: 143; T3: 29; T4: 65; T5: 57; T6: 79; T7: 46
9,unigram,10,3,0.5,symmetric,auto,10,0.5039402377783462,3464,1078,42,16.312741312741313,2.8957528957528957,"T0: attack, attacker, device, system, said, network, data, user, address, access | T1: file, system, command, window, attacker, payload, figure, script, code, agent | T2: phone, crime, fraud, use, reward, law, federal, year, police, help | T3: pointer, buffer, write, heap, payload, data, dynamic, object, exploit, process | T4: access, process, attack, adversary, window, security, api, handle, target, used | T5: module, code, exploit, request, update, add, metasploit, cve, digicat, rce | T6: security, team, data, vulnerability, risk, exposure, environment, remediation, model, time | T7: job, version, tool, year, exploit, cpanel, list, cybersecurity, user, security | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, ransomware, platform, talos, email, encryption, figure, ddos, system",T0: 169; T1: 83; T2: 129; T3: 30; T4: 87; T5: 110; T6: 103; T7: 147; T8: 74; T9: 104
10,unigram,10,3,0.5,symmetric,auto,20,0.5201343708806283,3464,1078,42,17.084942084942085,2.7027027027027026,"T0: attack, attacker, device, said, system, network, user, data, address, access | T1: file, system, command, payload, agent, script, attacker, figure, window, code | T2: phone, crime, use, fraud, reward, law, federal, year, police, group | T3: pointer, buffer, write, heap, data, payload, dynamic, exploit, object, process | T4: access, process, attack, adversary, window, api, security, handle, used, target | T5: module, code, exploit, request, add, update, metasploit, digicat, cve, rce | T6: security, team, risk, data, vulnerability, environment, exposure, remediation, model, time | T7: job, version, year, tool, cpanel, exploit, cybersecurity, list, actually, site | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, ransomware, talos, platform, email, encryption, ddos, system, malware",T0: 177; T1: 80; T2: 131; T3: 28; T4: 88; T5: 103; T6: 102; T7: 149; T8: 73; T9: 105
